# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
5	0	24813
17	0	49751
23	0	56100
29	0	55879
35	0	54901
41	0	54711
47	0	54425
53	0	54255
59	0	54288
64	0	54325
70	0	54633
77	63	54600
83	305	54364
89	1241	54262
94	2782	54172
100	4953	54155
105	6746	54151
110	8156	54538
115	8824	54503
120	8922	54491
126	7614	54515
131	5721	54499
137	3323	54496
143	1426	54718
149	468	54933
155	69	54661
161	5	54775
167	0	54646
172	0	54402
178	0	54491
184	0	54310
190	0	54247
196	0	54093
202	0	54311
207	0	54253
213	0	54481
219	0	54347
225	0	54519
231	0	54584
237	0	54377
242	0	54244
247	0	53944
252	0	54173
257	0	54223
263	0	54547
269	0	54512
275	0	54434
281	0	54597
287	0	54549
293	0	54507
299	0	54503
305	0	54124
311	0	54244
317	0	54191
323	0	54219
329	0	54187
334	0	54267
340	0	54036
346	0	54009
352	0	54284
358	0	54570
364	0	54598
369	0	54392
375	0	54504
380	0	54304
386	0	54461
392	0	54434
398	0	54477
404	0	54542
410	0	54592
416	0	54450
422	0	54403
428	0	54251
434	0	54346
439	25	54213
445	151	54282
450	532	54433
455	1620	54288
461	3688	54448
466	5311	54589
472	6776	54396
477	7206	54402
482	7305	54362
488	6908	54222
494	5623	54505
499	4446	54319
505	3378	54077
510	2647	54450
515	1873	54584
521	919	54624
527	284	54455
533	72	54321
538	15	54273
544	3	54333
550	1	54535
555	0	54367
560	0	54412
566	0	54319
571	0	54330
577	0	54470
583	0	54477
589	0	54433
595	0	54319
601	0	54088
606	0	54177
611	0	54462
616	0	54535
622	0	54624
628	0	54808
634	0	54638
640	0	54492
646	0	54431
652	0	54215
658	0	54485
664	0	54383
670	0	54391
676	0	54364
682	0	54282
688	0	54310
694	0	54573
699	0	54707
704	0	54582
710	0	54286
716	0	54479
722	0	54278
727	0	54325
732	0	54352
738	0	54165
743	0	54129
749	0	54276
754	0	54036
760	0	54153
766	0	54006
772	0	53930
777	0	53947
783	0	54149
789	0	54293
795	0	54482
801	0	54436
807	26	54514
813	161	54255
819	777	54577
825	2516	54743
830	4367	54854
836	6154	54647
841	6953	54576
846	7372	54475
851	7075	54302
856	6586	54199
861	5883	54394
867	5132	54192
872	3947	54172
877	2487	54204
883	1190	54141
889	675	53947
895	294	54002
901	61	54153
906	16	54263
912	4	54430
918	0	54454
924	0	54564
930	0	54728
936	0	54677
942	0	54714
948	0	54865
954	0	54761
960	0	54650
966	0	54781
972	0	54529
978	0	54436
984	0	54327
989	0	54180
995	0	54040
1001	0	53806
1006	0	54134
